fiscal_yr;service_id;volume_meeting_target;total_volume;volume_not_meeting_target
2018-2019;1919;189716471848.0;189718971897.0;2500049.0
2018-2019;1920;1098495.0;12786103.0;11687608.0
2018-2019;1921;17691.0;20795.0;3104.0
2018-2019;1922;114159.0;125159.0;11000.0
2018-2019;1923;226842456.0;233872464.0;7030008.0
2018-2019;1924;331732.0;357749.0;26017.0
2018-2019;1925;139204.0;139209.0;5.0
2018-2019;1928;52.0;721.0;669.0
2018-2019;1929;19.0;19.0;0.0
2018-2019;1931;0.0;0.0;0.0
2018-2019;195;784355.0;784372.0;17.0
2018-2019;1958;0.0;0.0;0.0
2018-2019;1959;0.0;0.0;0.0
2018-2019;1960;0.0;0.0;0.0
2018-2019;1973;123122189.0;123123189.0;1000.0
2018-2019;2;13725.0;14200.0;475.0
2018-2019;20;0.0;2577.0;2577.0
2018-2019;208;23.0;28.0;5.0
2018-2019;21;15635912331060.0;15636113091078.0;200760018.0
2018-2019;22;173.0;182.0;9.0
2018-2019;243;34.0;43.0;9.0
2018-2019;245;95791611.0;95791616.0;5.0
2018-2019;247;1.3602175744838038e+19;4.016292175764848e+21;4.00269000002001e+21
2018-2019;254;334444.0;444444.0;110000.0
2018-2019;255;1476.0;1477.0;1.0
2018-2019;261;0.0;0.0;0.0
2018-2019;262;804.0;969.0;165.0
2018-2019;263;57425786737126.0;5757571101007355.0;5700145314270229.0
2018-2019;265;232345.0;232345.0;0.0
2018-2019;267;444848.0;484848.0;40000.0
2018-2019;278;1.0;1.0;0.0
2018-2019;280;645.0;745.0;100.0
2018-2019;282;12433.0;151040.0;138607.0
2018-2019;283;2.0;2.0;0.0
2018-2019;284;0.0;0.0;0.0
2018-2019;288;19618611.0;19618615.0;4.0
2018-2019;289;37.0;37.0;0.0
2018-2019;290;4.0;4.0;0.0
2018-2019;291;17.0;21.0;4.0
2018-2019;292;267.0;268.0;1.0
2018-2019;293;13.0;13.0;0.0
2018-2019;294;31.0;31.0;0.0
2018-2019;296;16116.0;16118.0;2.0
2018-2019;299;10.0;10.0;0.0
2018-2019;3;448806.0;448806.0;0.0
2018-2019;304;0.0;0.0;0.0
2018-2019;309;131.0;131.0;0.0
2018-2019;314;787.0;819.0;32.0
2018-2019;315;7.0;22.0;15.0
2018-2019;335;85125.0;85125.0;0.0
2018-2019;337;324305149.0;324305162.0;13.0
2018-2019;339;112.0;113.0;1.0
2018-2019;34;0.0;34163.0;34163.0
2018-2019;341;443016.0;453019.0;10003.0
2018-2019;344;3610455.0;3610566.0;111.0
