fiscal_yr;org_id;service_id;channel;volume_meeting_target;total_volume;volume_not_meeting_target
2018-2019;122;1905;ONL;370.0;386.0;16.0
2018-2019;122;1906;ONL;75.0;76.0;1.0
2018-2019;122;1907;ONL;339.0;340.0;1.0
2018-2019;122;1908;ONL;1159.0;1252.0;93.0
2018-2019;122;1909;ONL;347.0;365.0;18.0
2018-2019;122;1910;ONL;3249.0;3289.0;40.0
2018-2019;122;1911;ONL;306.0;309.0;3.0
2018-2019;122;1912;ONL;1660.0;1711.0;51.0
2018-2019;122;1913;ONL;143.0;149.0;6.0
2018-2019;122;1919;ONL;5392.0;5691.0;299.0
2018-2019;122;1920;ONL;288.0;316.0;28.0
2018-2019;122;1921;ONL;267.0;302.0;35.0
2018-2019;122;1922;ONL;273.0;284.0;11.0
2018-2019;122;1923;ONL;1524.0;1569.0;45.0
2018-2019;122;1924;ONL;1063.0;1106.0;43.0
2018-2019;122;1925;ONL;343.0;348.0;5.0
2018-2019;122;1928;ONL;52.0;721.0;669.0
2018-2019;122;1929;ONL;19.0;19.0;0.0
2018-2019;123;1420;OTH;342727.0;376016.0;33289.0
2018-2019;123;1421;OTH;4113.0;4571.0;458.0
2018-2019;123;1422;ONL;3987706.0;3989002.0;1296.0
2018-2019;123;1423;OTH;1487399.0;2280386.0;792987.0
2018-2019;123;1428;OTH;234206.0;239432.0;5226.0
2018-2019;123;1429;OTH;55943.0;59364.0;3421.0
2018-2019;123;1430;ONL;18666.0;24203.0;5537.0
2018-2019;123;1431;ONL;88.0;232.0;144.0
2018-2019;123;1433;ONL;14726.0;17328.0;2602.0
2018-2019;123;1437;OTH;0.0;0.0;0.0
2018-2019;123;1439;OTH;209.0;10192.0;9983.0
2018-2019;123;1441;ONL;6245.0;7900.0;1655.0
2018-2019;123;1441;OTH;970.0;19176.0;18206.0
2018-2019;123;1442;OTH;31492.0;40374.0;8882.0
2018-2019;123;1460;OTH;312.0;312.0;0.0
2018-2019;123;1466;OTH;0.0;0.0;0.0
2018-2019;123;1482;OTH;168321.0;209934.0;41613.0
2018-2019;123;1491;OTH;851259.0;854061.0;2802.0
2018-2019;123;1491;PERSON;2141565.0;2160238.0;18673.0
2018-2019;123;1494;OTH;701.0;732.0;31.0
2018-2019;123;1495;OTH;14921.0;16527.0;1606.0
2018-2019;123;1496;OTH;14921.0;16527.0;1606.0
2018-2019;123;1498;OTH;3740.0;3771.0;31.0
2018-2019;123;1500;OTH;6.0;6.0;0.0
2018-2019;123;1501;OTH;18253.0;18779.0;526.0
2018-2019;123;1514;OTH;24749.0;83895.0;59146.0
2018-2019;123;1516;OTH;6320.0;16846.0;10526.0
2018-2019;124;1238;ONL;1331.0;1331.0;0.0
2018-2019;125;1004;ONL;15.0;15.0;0.0
2018-2019;125;1006;ONL;18242.0;18307.0;65.0
2018-2019;125;1008;OTH;120.0;120.0;0.0
2018-2019;125;1009;PERSON;0.0;75.0;75.0
2018-2019;125;1010;OTH;48.0;48.0;0.0
2018-2019;125;1011;ONL;117.0;120.0;3.0
2018-2019;125;1013;OTH;846.0;855.0;9.0
2018-2019;125;1015;OTH;6.0;6.0;0.0
2018-2019;125;1016;OTH;0.0;3.0;3.0
2018-2019;125;1017;OTH;1.0;1.0;0.0
2018-2019;125;1020;OTH;1.0;1.0;0.0
