fiscal_yr;org_id;service_id;channel;volume
2021-2022;46;1110;online;58314.0
2018-2019;46;1111;online;33920362.0
2019-2020;46;1111;online;32147450.0
2020-2021;46;1111;online;35781758.0
2021-2022;46;1111;online;34275629.0
2018-2019;46;1112;online;8874033.0
2019-2020;46;1112;online;8804354.0
2020-2021;46;1112;online;9619492.0
2021-2022;46;1112;online;10054347.0
2018-2019;46;1113;online;29985.0
2019-2020;46;1113;online;30038.0
2020-2021;46;1113;online;27563.0
2021-2022;46;1113;online;34134.0
2021-2022;326;1114;online;4090.0
2018-2019;46;1115;online;22541.0
2019-2020;46;1115;online;32657.0
2020-2021;46;1115;online;53411.0
2021-2022;46;1115;online;15989.0
2018-2019;46;1116;online;311054.0
2019-2020;46;1116;online;362792.0
2020-2021;46;1116;online;478989.0
2021-2022;46;1116;online;526042.0
2018-2019;46;1117;online;2996.0
2019-2020;46;1117;online;3362.0
2020-2021;46;1117;online;3819.0
2021-2022;46;1117;online;3819.0
2020-2021;114;1120;online;9.0
2018-2019;74;1123;online;26746.0
2018-2019;46;1137;online;718.0
2019-2020;46;1137;online;739.0
2021-2022;46;1137;online;1033.0
2018-2019;136;1144;online;242737.0
2019-2020;136;1144;online;305923.0
2020-2021;136;1144;online;305923.0
2018-2019;136;1147;online;8000.0
2019-2020;136;1147;online;2087.0
2020-2021;136;1147;online;2087.0
2018-2019;71;1153;online;1737.0
2019-2020;71;1153;online;2114.0
2022-2023;282;1154;online;695.0
2018-2019;282;1154;online;1291.0
2019-2020;282;1154;online;988.0
2021-2022;282;1154;online;793.0
2022-2023;282;1155;online;49685.0
2018-2019;282;1155;online;50796.0
2019-2020;282;1155;online;55316.0
2021-2022;282;1155;online;50150.0
2022-2023;129;1160;online;166.0
2022-2023;129;1162;online;39.0
2022-2023;282;1172;online;2350.0
2018-2019;282;1172;online;8050.0
2019-2020;282;1172;online;7084.0
2020-2021;282;1172;online;5154.0
2021-2022;282;1172;online;55446.0
2018-2019;282;1176;online;5385.0
2019-2020;282;1176;online;154.0
2021-2022;282;1176;online;1071.0
2022-2023;282;1179;online;165.0
2018-2019;282;1179;online;165.0
2019-2020;282;1179;online;165.0
2020-2021;282;1179;online;111.0
2021-2022;282;1179;online;158.0
2022-2023;282;1180;online;1544.0
2018-2019;282;1180;online;15.0
2019-2020;282;1180;online;1105.0
2020-2021;282;1180;online;743.0
2021-2022;282;1180;online;1546.0
2018-2019;282;1183;online;1.0
2018-2019;71;1187;online;10.0
2019-2020;71;1187;online;32.0
2022-2023;282;1195;online;1128947.0
2018-2019;282;1195;online;1000000.0
2019-2020;282;1195;online;488504.0
2020-2021;282;1195;online;1242967.0
2021-2022;282;1195;online;1128947.0
2018-2019;129;1196;online;180.0
2018-2019;278;1200;online;32616.0
2021-2022;282;1202;online;1903.0
2018-2019;282;1204;online;200000.0
2019-2020;282;1204;online;200000.0
2021-2022;282;1204;online;120000.0
2018-2019;137;1208;online;52.0
2019-2020;137;1208;online;19.0
2020-2021;130;1211;online;96.0
2022-2023;130;1218;online;55.0
2020-2021;130;1218;online;274.0
2021-2022;130;1218;online;226.0
2022-2023;130;1222;online;1176.0
2018-2019;130;1222;online;1209.0
2019-2020;130;1222;online;1215.0
2020-2021;130;1222;online;1209.0
2021-2022;130;1222;online;1197.0
2019-2020;263;1231;online;45767.0
2022-2023;130;1234;online;25.0
2018-2019;130;1234;online;33.0
2019-2020;130;1234;online;40.0
2020-2021;130;1234;online;38.0
2021-2022;130;1234;online;38.0
2022-2023;130;1235;online;116941.0
2018-2019;130;1235;online;67522.0
2019-2020;130;1235;online;71577.0
2020-2021;130;1235;online;99496.0
