fiscal_yr;org_id;department_en;department_fr;service_count;service_with_std_count;maf1_score;service_standard_id_met;service_standard_id_total;maf2_score;online_e2e_count;service_count;maf5_score;activated_point_count;point_count;maf6_score;improved_services_count;service_count;maf8_score
2019-2020;74;Canadian Institutes of Health Research;Instituts de recherche en santé du Canada;6;2;33.33333333333333;2.0;3.0;66.66666666666666;1;6;16.666666666666664;13.0;22.0;59.09090909090909;0;6;0.0
2019-2020;76;Canadian Intergovernmental Conference Secretariat;Secrétariat des conférences intergouvernementales canadiennes;2;2;100.0;;;;0;2;0.0;6.0;8.0;75.0;0;2;0.0
2019-2020;86;Canadian Northern Economic Development Agency;Agence canadienne de développement économique du Nord;3;2;66.66666666666666;1.0;4.0;25.0;2;3;66.66666666666666;6.0;12.0;50.0;0;3;0.0
2019-2020;87;Canadian Nuclear Safety Commission;Commission canadienne de sûreté nucléaire;7;7;100.0;7.0;11.0;63.63636363636363;7;7;100.0;;;;0;7;0.0
2019-2020;93;Canadian Radio-television and Telecommunications Commission;Conseil de la radiodiffusion et des télécommunications canadiennes;4;4;100.0;12.0;13.0;92.3076923076923;2;4;50.0;15.0;17.0;88.23529411764706;0;4;0.0
2019-2020;95;Canadian Space Agency;Agence spatiale canadienne;11;11;100.0;13.0;15.0;86.66666666666667;3;11;27.27272727272727;23.0;53.0;43.39622641509434;0;11;0.0
2019-2020;99;Canadian Transportation Agency;Office des transports du Canada;6;4;66.66666666666666;5.0;6.0;83.33333333333334;0;6;0.0;10.0;36.0;27.77777777777778;0;6;0.0
2019-2020;297;Civilian Review and Complaints Commission for the RCMP;Commission civile d’examen et de traitement des plaintes relatives à la GRC;3;2;66.66666666666666;;;;3;3;100.0;;;;0;3;0.0
2019-2020;114;Copyright Board Canada;Commission du droit d'auteur Canada;3;3;100.0;;;;0;3;0.0;0.0;18.0;0.0;0;3;0.0
2019-2020;117;Correctional Service Canada;Service correctionnel Canada;3;3;100.0;1.0;6.0;16.666666666666664;2;3;66.66666666666666;4.0;10.0;40.0;0;3;0.0
2019-2020;118;Courts Administration Service;Service administratif des tribunaux judiciaires;1;1;100.0;;;;0;1;0.0;0.0;5.0;0.0;0;1;0.0
2019-2020;129;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;32;25;78.125;3.0;5.0;60.0;24;32;75.0;27.0;56.0;48.214285714285715;0;32;0.0
2019-2020;124;Department of Finance Canada;Ministère des Finances Canada;3;1;33.33333333333333;;;;0;3;0.0;5.0;18.0;27.77777777777778;0;3;0.0
2019-2020;348;Department of Indigenous Services;Ministère des Services aux Autochtones;88;15;17.045454545454543;2.0;14.0;14.285714285714285;57;88;64.77272727272727;52.0;152.0;34.21052631578947;0;88;0.0
2019-2020;132;Department of Justice Canada;Ministère de la Justice Canada;7;6;85.71428571428571;18.0;21.0;85.71428571428571;1;7;14.285714285714285;13.0;41.0;31.70731707317073;0;7;0.0
2019-2020;128;Employment and Social Development Canada;Emploi et Développement social Canada;29;29;100.0;51.0;65.0;78.46153846153847;13;29;44.827586206896555;68.0;122.0;55.73770491803278;0;29;0.0
2019-2020;137;Environment and Climate Change Canada;Environnement et Changement climatique Canada;43;36;83.72093023255815;63.0;90.0;70.0;13;43;30.23255813953488;97.0;204.0;47.549019607843135;0;43;0.0
2019-2020;222;Farm Products Council of Canada;Conseil des produits agricoles du Canada;4;0;0.0;;;;0;4;0.0;0.0;24.0;0.0;0;4;0.0
2019-2020;150;Federal Economic Development Agency for Southern Ontario;Agence fédérale de développement économique pour le Sud de l'Ontario;2;1;50.0;4.0;4.0;100.0;0;2;0.0;0.0;12.0;0.0;0;2;0.0
2019-2020;151;Financial Consumer Agency of Canada;Agence de la consommation en matière financière du Canada;3;2;66.66666666666666;2.0;3.0;66.66666666666666;0;3;0.0;7.0;18.0;38.88888888888889;0;3;0.0
2019-2020;152;Financial Transactions and Reports Analysis Centre of Canada;Centre d'analyse des opérations et déclarations financières du Canada;7;5;71.42857142857143;;;;2;7;28.57142857142857;7.0;37.0;18.91891891891892;0;7;0.0
2019-2020;125;Fisheries and Oceans Canada;Pêches et Océans Canada;64;63;98.4375;76.0;96.0;79.16666666666666;48;64;75.0;31.0;100.0;31.0;0;64;0.0
2019-2020;126;Global Affairs Canada;Affaires mondiales Canada;35;17;48.57142857142857;;;;15;35;42.857142857142854;32.0;143.0;22.377622377622377;0;35;0.0
2019-2020;127;Health Canada;Santé Canada;82;54;65.85365853658537;34.0;53.0;64.15094339622641;43;82;52.4390243902439;56.0;226.0;24.778761061946902;0;82;0.0
2019-2020;237;Housing, Infrastructure and Communities Canada;Logement, Infrastructure et Collectivités Canada;12;12;100.0;18.0;22.0;81.81818181818183;11;12;91.66666666666666;4.0;6.0;66.66666666666666;0;12;0.0
2019-2020;174;Immigration and Refugee Board of Canada;Commission de l'immigration et du statut de réfugié du Canada;6;6;100.0;;;;1;6;16.666666666666664;11.0;29.0;37.93103448275862;0;6;0.0
2019-2020;123;Immigration, Refugees and Citizenship Canada;Immigration, Réfugiés et Citoyenneté Canada;72;25;34.72222222222222;32.0;51.0;62.745098039215684;21;72;29.166666666666668;205.0;353.0;58.07365439093485;0;72;0.0
2019-2020;63;Impact Assessment Agency of Canada;Agence d'évaluation d'impact du Canada;12;8;66.66666666666666;5.0;7.0;71.42857142857143;8;12;66.66666666666666;14.0;26.0;53.84615384615385;0;12;0.0
2019-2020;130;Innovation, Science and Economic Development Canada;Innovation, Sciences et Développement économique Canada;47;44;93.61702127659575;117.0;151.0;77.48344370860927;20;47;42.5531914893617;127.0;207.0;61.35265700483091;0;47;0.0
2019-2020;347;Invest in Canada Hub;Investir au Canada;3;0;0.0;;;;0;3;0.0;3.0;18.0;16.666666666666664;0;3;0.0
2019-2020;199;Library and Archives Canada;Bibliothèque et Archives Canada;9;7;77.77777777777779;1.0;2.0;50.0;1;9;11.11111111111111;14.0;54.0;25.925925925925924;0;9;0.0
2019-2020;210;Military Police Complaints Commission of Canada;Commission d'examen des plaintes concernant la police militaire du Canada;2;1;50.0;;;;0;2;0.0;1.0;12.0;8.333333333333332;0;2;0.0
2019-2020;133;National Defence;Défense nationale;10;6;60.0;10.0;11.0;90.9090909090909;5;10;50.0;8.0;24.0;33.33333333333333;0;10;0.0
2019-2020;223;National Film Board;Office national du film;3;3;100.0;5.0;6.0;83.33333333333334;1;3;33.33333333333333;4.0;9.0;44.44444444444444;0;3;0.0
2019-2020;228;National Research Council Canada;Conseil national de recherches Canada;15;15;100.0;13.0;21.0;61.904761904761905;6;15;40.0;31.0;47.0;65.95744680851064;0;15;0.0
2019-2020;302;National Security and Intelligence Review Agency Secretariat;Secrétariat de l’Office de surveillance des activités en matière de sécurité nationale et de renseignement;2;0;0.0;;;;2;2;100.0;;;;0;2;0.0
2019-2020;134;Natural Resources Canada;Ressources naturelles Canada;33;27;81.81818181818183;;;;22;33;66.66666666666666;60.0;111.0;54.054054054054056;0;33;0.0
2019-2020;230;Natural Sciences and Engineering Research Council of Canada;Conseil de recherches en sciences naturelles et en génie du Canada;6;6;100.0;8.0;11.0;72.72727272727273;6;6;100.0;23.0;23.0;100.0;0;6;0.0
2019-2020;240;Office of the Commissioner for Federal Judicial Affairs Canada;Commissariat à la magistrature fédérale Canada;6;0;0.0;;;;5;6;83.33333333333334;7.0;11.0;63.63636363636363;0;6;0.0
2019-2020;253;Office of the Superintendent of Financial Institutions Canada;Bureau du surintendant des institutions financières Canada;8;7;87.5;8.0;9.0;88.88888888888889;4;8;50.0;2.0;18.0;11.11111111111111;0;8;0.0
2019-2020;263;Parks Canada;Parcs Canada;12;7;58.333333333333336;2.0;2.0;100.0;0;12;0.0;4.0;72.0;5.555555555555555;0;12;0.0
2019-2020;227;Parole Board of Canada;Commission des libérations conditionnelles du Canada;11;6;54.54545454545454;7.0;8.0;87.5;5;11;45.45454545454545;32.0;66.0;48.484848484848484;0;11;0.0
2019-2020;266;Patented Medicine Prices Review Board Canada;Conseil d'examen du prix des médicaments brevetés Canada;2;1;50.0;1.0;1.0;100.0;2;2;100.0;5.0;5.0;100.0;0;2;0.0
2019-2020;552;Polar Knowledge Canada;Savoir polaire Canada;2;2;100.0;2.0;2.0;100.0;0;2;0.0;4.0;12.0;33.33333333333333;0;2;0.0
2019-2020;140;Prairies Economic Development Canada;Développement économique Canada pour les Prairies;4;3;75.0;6.0;6.0;100.0;2;4;50.0;9.0;14.0;64.28571428571429;0;4;0.0
2019-2020;278;Privy Council Office;Bureau du Conseil privé;6;0;0.0;;;;5;6;83.33333333333334;6.0;10.0;60.0;0;6;0.0
2019-2020;280;Public Health Agency of Canada;Agence de la santé publique du Canada;13;12;92.3076923076923;15.0;17.0;88.23529411764706;7;13;53.84615384615385;10.0;42.0;23.809523809523807;0;13;0.0
2019-2020;248;Public Prosecution Service of Canada;Service des poursuites pénales du Canada;1;0;0.0;;;;0;1;0.0;2.0;6.0;33.33333333333333;0;1;0.0
2019-2020;135;Public Safety Canada;Sécurité publique Canada;54;39;72.22222222222221;1.0;1.0;100.0;0;54;0.0;24.0;324.0;7.4074074074074066;0;54;0.0
2019-2020;282;Public Service Commission of Canada;Commission de la fonction publique du Canada;25;21;84.0;9.0;15.0;60.0;16;25;64.0;87.0;128.0;67.96875;0;25;0.0
2019-2020;136;Public Services and Procurement Canada;Services publics et Approvisionnement Canada;46;34;73.91304347826086;45.0;56.0;80.35714285714286;21;46;45.65217391304348;76.0;176.0;43.18181818181818;0;46;0.0
2019-2020;296;RCMP External Review Committee;Comité externe d'examen de la GRC;1;1;100.0;;;;0;1;0.0;0.0;6.0;0.0;0;1;0.0
2019-2020;295;Royal Canadian Mounted Police;Gendarmerie royale du Canada;18;13;72.22222222222221;11.0;21.0;52.38095238095239;12;18;66.66666666666666;19.0;35.0;54.285714285714285;0;18;0.0
2019-2020;305;Shared Services Canada;Services partagés Canada;12;10;83.33333333333334;;;;5;12;41.66666666666667;40.0;61.0;65.57377049180327;0;12;0.0
2019-2020;306;Social Sciences and Humanities Research Council of Canada;Conseil de recherches en sciences humaines du Canada;7;7;100.0;9.0;13.0;69.23076923076923;6;7;85.71428571428571;21.0;24.0;87.5;0;7;0.0
2019-2020;313;Statistics Canada;Statistique Canada;23;23;100.0;;;;21;23;91.30434782608695;46.0;51.0;90.19607843137256;0;23;0.0
2019-2020;247;The Correctional Investigator Canada;L'Enquêteur correctionnel Canada;3;3;100.0;2.0;5.0;40.0;0;3;0.0;0.0;18.0;0.0;0;3;0.0
2019-2020;218;The National Battlefields Commission;Commission des champs de bataille nationaux;7;7;100.0;4.0;4.0;100.0;7;7;100.0;9.0;9.0;100.0;0;7;0.0
2019-2020;138;Transport Canada;Transports Canada;102;68;66.66666666666666;92.0;174.0;52.87356321839081;33;102;32.35294117647059;36.0;418.0;8.61244019138756;0;102;0.0
2019-2020;98;Transportation Safety Board of Canada;Bureau de la sécurité des transports du Canada;5;0;0.0;;;;0;5;0.0;0.0;30.0;0.0;0;5;0.0
2019-2020;326;Treasury Board of Canada Secretariat;Secrétariat du Conseil du Trésor du Canada;15;13;86.66666666666667;6.0;12.0;50.0;11;15;73.33333333333333;51.0;63.0;80.95238095238095;0;15;0.0
2019-2020;139;Veterans Affairs Canada;Anciens Combattants Canada;28;19;67.85714285714286;17.0;22.0;77.27272727272727;16;28;57.14285714285714;114.0;136.0;83.82352941176471;0;28;0.0
