fiscal_yr;org_id;service_id;online_interaction_point;activation;online_interaction_point_sort
2023-2024;46;1110;account_registration;Y;1
2023-2024;46;1110;authentication;Y;2
2023-2024;46;1110;application;Y;3
2023-2024;46;1110;decision;Y;4
2023-2024;46;1110;issuance;Y;5
2023-2024;46;1110;issue_resolution_feedback;N;6
2023-2024;46;1111;account_registration;Y;1
2023-2024;46;1111;authentication;Y;2
2023-2024;46;1111;application;Y;3
2023-2024;46;1111;decision;Y;4
2023-2024;46;1111;issuance;Y;5
2023-2024;46;1111;issue_resolution_feedback;N;6
2023-2024;46;1112;account_registration;Y;1
2023-2024;46;1112;authentication;Y;2
2023-2024;46;1112;application;Y;3
2023-2024;46;1112;decision;Y;4
2023-2024;46;1112;issuance;Y;5
2023-2024;46;1112;issue_resolution_feedback;N;6
2023-2024;46;1113;account_registration;Y;1
2023-2024;46;1113;authentication;Y;2
2023-2024;46;1113;application;Y;3
2023-2024;46;1113;decision;Y;4
2023-2024;46;1113;issuance;Y;5
2023-2024;46;1113;issue_resolution_feedback;Y;6
2023-2024;326;1114;account_registration;NA;1
2023-2024;326;1114;authentication;NA;2
2023-2024;326;1114;application;N;3
2023-2024;326;1114;decision;NA;4
2023-2024;326;1114;issuance;Y;5
2023-2024;326;1114;issue_resolution_feedback;Y;6
2023-2024;46;1115;account_registration;Y;1
2023-2024;46;1115;authentication;Y;2
2023-2024;46;1115;application;Y;3
2023-2024;46;1115;decision;N;4
2023-2024;46;1115;issuance;N;5
2023-2024;46;1115;issue_resolution_feedback;N;6
2023-2024;46;1116;account_registration;Y;1
2023-2024;46;1116;authentication;Y;2
2023-2024;46;1116;application;Y;3
2023-2024;46;1116;decision;Y;4
2023-2024;46;1116;issuance;Y;5
2023-2024;46;1116;issue_resolution_feedback;Y;6
2023-2024;46;1117;account_registration;NA;1
2023-2024;46;1117;authentication;Y;2
2023-2024;46;1117;application;Y;3
2023-2024;46;1117;decision;NA;4
2023-2024;46;1117;issuance;N;5
2023-2024;46;1117;issue_resolution_feedback;Y;6
2019-2020;278;1118;account_registration;NA;1
2019-2020;278;1118;authentication;NA;2
2019-2020;278;1118;application;NA;3
2019-2020;278;1118;decision;NA;4
2019-2020;278;1118;issuance;NA;5
2019-2020;278;1118;issue_resolution_feedback;NA;6
2023-2024;114;1119;account_registration;NA;1
2023-2024;114;1119;authentication;NA;2
2023-2024;114;1119;application;Y;3
2023-2024;114;1119;decision;NA;4
2023-2024;114;1119;issuance;NA;5
2023-2024;114;1119;issue_resolution_feedback;N;6
2023-2024;114;1120;account_registration;NA;1
2023-2024;114;1120;authentication;NA;2
2023-2024;114;1120;application;Y;3
2023-2024;114;1120;decision;NA;4
2023-2024;114;1120;issuance;NA;5
2023-2024;114;1120;issue_resolution_feedback;N;6
2023-2024;74;1121;account_registration;NA;1
2023-2024;74;1121;authentication;NA;2
2023-2024;74;1121;application;NA;3
2023-2024;74;1121;decision;NA;4
2023-2024;74;1121;issuance;NA;5
2023-2024;74;1121;issue_resolution_feedback;NA;6
2023-2024;74;1122;account_registration;NA;1
2023-2024;74;1122;authentication;NA;2
2023-2024;74;1122;application;NA;3
2023-2024;74;1122;decision;NA;4
2023-2024;74;1122;issuance;NA;5
2023-2024;74;1122;issue_resolution_feedback;NA;6
2023-2024;74;1123;account_registration;NA;1
2023-2024;74;1123;authentication;NA;2
2023-2024;74;1123;application;NA;3
2023-2024;74;1123;decision;NA;4
2023-2024;74;1123;issuance;NA;5
2023-2024;74;1123;issue_resolution_feedback;NA;6
2018-2019;74;1126;account_registration;N;1
2018-2019;74;1126;authentication;N;2
2018-2019;74;1126;application;N;3
2018-2019;74;1126;decision;N;4
2018-2019;74;1126;issuance;N;5
2018-2019;74;1126;issue_resolution_feedback;NA;6
2018-2019;74;1127;account_registration;N;1
2018-2019;74;1127;authentication;N;2
2018-2019;74;1127;application;N;3
2018-2019;74;1127;decision;N;4
