org_id;latest_si_yr;program_id;report_yr;measure_yr;planned_actual;spending_fte;measure;si_link_yr
98;2024-2025;BWA02;2020-2021;2020-2021;actual;spending;6035837.59;2020-2021
98;2024-2025;BWA03;2020-2021;2020-2021;actual;spending;6450860.87;2020-2021
98;2024-2025;BWA04;2020-2021;2020-2021;actual;spending;547006.79;2020-2021
98;2024-2025;ISS00;2020-2021;2020-2021;actual;spending;7976504.19;2020-2021
99;2024-2025;BTT01;2020-2021;2020-2021;actual;spending;6844952.89;2020-2021
99;2024-2025;BTT02;2020-2021;2020-2021;actual;spending;14331425.63;2020-2021
99;2024-2025;BTT03;2020-2021;2020-2021;actual;spending;9228372.21;2020-2021
99;2024-2025;ISS00;2020-2021;2020-2021;actual;spending;10992478.39;2020-2021
114;2024-2025;BEZ01;2020-2021;2020-2021;actual;spending;3162303.6;2020-2021
114;2024-2025;ISS00;2020-2021;2020-2021;actual;spending;740083.68;2020-2021
117;2024-2025;BUJ01;2020-2021;2020-2021;actual;spending;165572078.35;2020-2021
117;2024-2025;BUJ02;2020-2021;2020-2021;actual;spending;893315551.1;2020-2021
117;2024-2025;BUJ03;2020-2021;2020-2021;actual;spending;12682078.26;2020-2021
117;2024-2025;BUJ04;2020-2021;2020-2021;actual;spending;228027584.08;2020-2021
117;2024-2025;BUJ05;2020-2021;2020-2021;actual;spending;101774508.4;2020-2021
117;2024-2025;BUJ06;2020-2021;2020-2021;actual;spending;96456586.48;2020-2021
117;2024-2025;BUJ07;2020-2021;2020-2021;actual;spending;377264894.73;2020-2021
117;2024-2025;BUK01;2020-2021;2020-2021;actual;spending;264080202.35;2020-2021
117;2024-2025;BUK02;2020-2021;2020-2021;actual;spending;8193725.16;2020-2021
117;2024-2025;BUK03;2020-2021;2020-2021;actual;spending;8219458.61;2020-2021
117;2024-2025;BUK04;2020-2021;2020-2021;actual;spending;8702980.54;2020-2021
117;2024-2025;BUK08;2020-2021;2020-2021;actual;spending;26786252.78;2020-2021
117;2024-2025;BUK09;2020-2021;2020-2021;actual;spending;60697843.08;2020-2021
117;2024-2025;BUK10;2020-2021;2020-2021;actual;spending;24484264.32;2020-2021
117;2024-2025;BUK11;2020-2021;2020-2021;actual;spending;94638812.4;2020-2021
117;2024-2025;BUL01;2020-2021;2020-2021;actual;spending;23626710.48;2020-2021
117;2024-2025;BUL02;2020-2021;2020-2021;actual;spending;110212981.09;2020-2021
117;2024-2025;BUL03;2020-2021;2020-2021;actual;spending;22698798.8;2020-2021
117;2024-2025;BUL04;2020-2021;2020-2021;actual;spending;15468259.52;2020-2021
117;2024-2025;ISS01;2020-2021;2020-2021;actual;spending;87843331.51;2020-2021
117;2024-2025;ISS02;2020-2021;2020-2021;actual;spending;8549793.54;2020-2021
