fiscal_yr;org_id;service_id;fy_org_id_service_id;online_interaction_point;activation;online_interaction_point_sort
2022-2023;125;1029;2022-2023_125_1029;account_registration;N;1
2018-2019;125;1029;2018-2019_125_1029;account_registration;NA;1
2019-2020;125;1029;2019-2020_125_1029;account_registration;NA;1
2020-2021;125;1029;2020-2021_125_1029;account_registration;NA;1
2021-2022;125;1029;2021-2022_125_1029;account_registration;NA;1
2022-2023;125;1030;2022-2023_125_1030;account_registration;N;1
2018-2019;125;1030;2018-2019_125_1030;account_registration;NA;1
2019-2020;125;1030;2019-2020_125_1030;account_registration;NA;1
2020-2021;125;1030;2020-2021_125_1030;account_registration;NA;1
2021-2022;125;1030;2021-2022_125_1030;account_registration;NA;1
2018-2019;125;1031;2018-2019_125_1031;account_registration;NA;1
2019-2020;125;1031;2019-2020_125_1031;account_registration;NA;1
2022-2023;125;1032;2022-2023_125_1032;account_registration;Y;1
2018-2019;125;1032;2018-2019_125_1032;account_registration;Y;1
2019-2020;125;1032;2019-2020_125_1032;account_registration;Y;1
2020-2021;125;1032;2020-2021_125_1032;account_registration;Y;1
2021-2022;125;1032;2021-2022_125_1032;account_registration;Y;1
2022-2023;125;1033;2022-2023_125_1033;account_registration;N;1
2018-2019;125;1033;2018-2019_125_1033;account_registration;NA;1
2019-2020;125;1033;2019-2020_125_1033;account_registration;NA;1
2020-2021;125;1033;2020-2021_125_1033;account_registration;NA;1
2021-2022;125;1033;2021-2022_125_1033;account_registration;NA;1
2022-2023;125;1034;2022-2023_125_1034;account_registration;N;1
2018-2019;125;1034;2018-2019_125_1034;account_registration;NA;1
2019-2020;125;1034;2019-2020_125_1034;account_registration;NA;1
2020-2021;125;1034;2020-2021_125_1034;account_registration;NA;1
2021-2022;125;1034;2021-2022_125_1034;account_registration;NA;1
2022-2023;125;1035;2022-2023_125_1035;account_registration;N;1
2018-2019;125;1035;2018-2019_125_1035;account_registration;NA;1
2019-2020;125;1035;2019-2020_125_1035;account_registration;NA;1
2020-2021;125;1035;2020-2021_125_1035;account_registration;NA;1
2021-2022;125;1035;2021-2022_125_1035;account_registration;NA;1
2022-2023;125;1036;2022-2023_125_1036;account_registration;N;1
2018-2019;125;1036;2018-2019_125_1036;account_registration;NA;1
2019-2020;125;1036;2019-2020_125_1036;account_registration;NA;1
2020-2021;125;1036;2020-2021_125_1036;account_registration;NA;1
2021-2022;125;1036;2021-2022_125_1036;account_registration;NA;1
2022-2023;125;1037;2022-2023_125_1037;account_registration;N;1
2018-2019;125;1037;2018-2019_125_1037;account_registration;NA;1
2019-2020;125;1037;2019-2020_125_1037;account_registration;NA;1
2020-2021;125;1037;2020-2021_125_1037;account_registration;NA;1
2021-2022;125;1037;2021-2022_125_1037;account_registration;NA;1
2022-2023;125;1038;2022-2023_125_1038;account_registration;NA;1
2018-2019;125;1038;2018-2019_125_1038;account_registration;NA;1
2019-2020;125;1038;2019-2020_125_1038;account_registration;NA;1
