fiscal_yr;org_id;department_en;department_fr;service_with_std_count;service_count_maf1;maf1_score;service_standard_met;service_standard_count;maf2_score;online_e2e_count;service_count_maf5;maf5_score;activated_point_count;point_count;maf6_score;improved_services_count;service_count_maf8;maf8_score
2018-2019;139;Veterans Affairs Canada;Anciens Combattants Canada;16;30;53.333333333333336;16.0;21.0;76.19047619047619;16;30;53.333333333333336;125.0;148.0;84.45945945945947;0;30;0.0
2018-2019;333;Veterans Review and Appeal Board;Tribunal des anciens combattants (révision et appel);2;2;100.0;1.0;2.0;50.0;0;2;0.0;7.0;12.0;58.333333333333336;0;2;0.0
2019-2020;539;Administrative Tribunals Support Service of Canada;Service canadien d'appui aux tribunaux administratifs;2;5;40.0;1.0;1.0;100.0;0;5;0.0;2.0;12.0;16.666666666666664;0;5;0.0
2019-2020;1;Agriculture and Agri-Food Canada;Agriculture et Agroalimentaire Canada;35;35;100.0;117.0;134.0;87.31343283582089;9;35;25.71428571428571;122.0;189.0;64.55026455026454;0;35;0.0
2019-2020;12;Atlantic Canada Opportunities Agency;Agence de promotion économique du Canada atlantique;3;5;60.0;4.0;7.0;57.14285714285714;1;5;20.0;11.0;13.0;84.61538461538461;0;5;0.0
2019-2020;26;Canada Border Services Agency;Agence des services frontaliers du Canada;27;42;64.28571428571429;33.0;44.0;75.0;4;42;9.523809523809524;36.0;178.0;20.224719101123593;0;42;0.0
2019-2020;141;Canada Economic Development for Quebec Regions;Développement économique Canada pour les régions du Québec;3;3;100.0;8.0;9.0;88.88888888888889;0;3;0.0;3.0;13.0;23.076923076923077;0;3;0.0
2019-2020;221;Canada Energy Regulator;Régie de l'énergie du Canada;16;16;100.0;12.0;18.0;66.66666666666666;0;16;0.0;11.0;94.0;11.702127659574469;0;16;0.0
2019-2020;46;Canada Revenue Agency;Agence du revenu du Canada;13;24;54.166666666666664;14.0;18.0;77.77777777777779;6;24;25.0;87.0;112.0;77.67857142857143;0;24;0.0
2019-2020;47;Canada School of Public Service;École de la fonction publique du Canada;2;3;66.66666666666666;3.0;4.0;75.0;1;3;33.33333333333333;7.0;15.0;46.666666666666664;0;3;0.0
2019-2020;65;Canadian Food Inspection Agency;Agence canadienne d'inspection des aliments;9;9;100.0;6.0;15.0;40.0;1;9;11.11111111111111;22.0;30.0;73.33333333333333;0;9;0.0
2019-2020;69;Canadian Grain Commission;Commission canadienne des grains;11;14;78.57142857142857;10.0;10.0;100.0;0;14;0.0;6.0;72.0;8.333333333333332;0;14;0.0
2019-2020;122;Canadian Heritage;Patrimoine canadien;23;27;85.18518518518519;44.0;50.0;88.0;0;27;0.0;21.0;162.0;12.962962962962962;0;27;0.0
2019-2020;71;Canadian Human Rights Commission;Commission canadienne des droits de la personne;1;3;33.33333333333333;0.0;1.0;0.0;1;3;33.33333333333333;4.0;8.0;50.0;0;3;0.0
2019-2020;74;Canadian Institutes of Health Research;Instituts de recherche en santé du Canada;2;6;33.33333333333333;2.0;3.0;66.66666666666666;0;6;0.0;13.0;22.0;59.09090909090909;0;6;0.0
2019-2020;76;Canadian Intergovernmental Conference Secretariat;Secrétariat des conférences intergouvernementales canadiennes;2;2;100.0;0.0;3.0;0.0;0;2;0.0;6.0;8.0;75.0;0;2;0.0
2019-2020;86;Canadian Northern Economic Development Agency;Agence canadienne de développement économique du Nord;2;3;66.66666666666666;1.0;4.0;25.0;1;3;33.33333333333333;6.0;12.0;50.0;0;3;0.0
2019-2020;87;Canadian Nuclear Safety Commission;Commission canadienne de sûreté nucléaire;7;7;100.0;7.0;11.0;63.63636363636363;0;7;0.0;;;;0;7;0.0
2019-2020;93;Canadian Radio-television and Telecommunications Commission;Conseil de la radiodiffusion et des télécommunications canadiennes;4;4;100.0;12.0;13.0;92.3076923076923;2;4;50.0;15.0;17.0;88.23529411764706;0;4;0.0
2019-2020;95;Canadian Space Agency;Agence spatiale canadienne;11;11;100.0;13.0;15.0;86.66666666666667;2;11;18.181818181818183;23.0;53.0;43.39622641509434;0;11;0.0
2019-2020;99;Canadian Transportation Agency;Office des transports du Canada;4;6;66.66666666666666;5.0;6.0;83.33333333333334;0;6;0.0;10.0;36.0;27.77777777777778;0;6;0.0
2019-2020;297;Civilian Review and Complaints Commission for the RCMP;Commission civile d’examen et de traitement des plaintes relatives à la GRC;0;3;0.0;;;;0;3;0.0;;;;0;3;0.0
2019-2020;114;Copyright Board Canada;Commission du droit d'auteur Canada;2;3;66.66666666666666;0.0;2.0;0.0;0;3;0.0;0.0;18.0;0.0;0;3;0.0
2019-2020;117;Correctional Service Canada;Service correctionnel Canada;3;3;100.0;1.0;6.0;16.666666666666664;1;3;33.33333333333333;4.0;10.0;40.0;0;3;0.0
2019-2020;118;Courts Administration Service;Service administratif des tribunaux judiciaires;1;1;100.0;0.0;1.0;0.0;0;1;0.0;0.0;5.0;0.0;0;1;0.0
2019-2020;129;Crown-Indigenous Relations and Northern Affairs Canada;Relations Couronne-Autochtones et Affaires du Nord Canada;10;32;31.25;3.0;5.0;60.0;4;32;12.5;27.0;56.0;48.214285714285715;0;32;0.0
2019-2020;124;Department of Finance Canada;Ministère des Finances Canada;1;3;33.33333333333333;0.0;0.0;;0;3;0.0;5.0;18.0;27.77777777777778;0;3;0.0
2019-2020;348;Department of Indigenous Services;Ministère des Services aux Autochtones;10;88;11.363636363636363;2.0;14.0;14.285714285714285;8;88;9.090909090909092;52.0;152.0;34.21052631578947;0;88;0.0
2019-2020;132;Department of Justice Canada;Ministère de la Justice Canada;6;7;85.71428571428571;14.0;16.0;87.5;1;7;14.285714285714285;13.0;41.0;31.70731707317073;0;7;0.0
2019-2020;128;Employment and Social Development Canada;Emploi et Développement social Canada;28;29;96.55172413793103;51.0;65.0;78.46153846153847;12;29;41.37931034482759;68.0;122.0;55.73770491803278;0;29;0.0
2019-2020;137;Environment and Climate Change Canada;Environnement et Changement climatique Canada;35;43;81.3953488372093;63.0;90.0;70.0;8;43;18.6046511627907;97.0;204.0;47.549019607843135;0;43;0.0
2019-2020;222;Farm Products Council of Canada;Conseil des produits agricoles du Canada;0;4;0.0;;;;0;4;0.0;0.0;24.0;0.0;0;4;0.0
2019-2020;150;Federal Economic Development Agency for Southern Ontario;Agence fédérale de développement économique pour le Sud de l'Ontario;1;2;50.0;4.0;4.0;100.0;0;2;0.0;0.0;12.0;0.0;0;2;0.0
2019-2020;151;Financial Consumer Agency of Canada;Agence de la consommation en matière financière du Canada;2;3;66.66666666666666;2.0;3.0;66.66666666666666;0;3;0.0;7.0;18.0;38.88888888888889;0;3;0.0
2019-2020;152;Financial Transactions and Reports Analysis Centre of Canada;Centre d'analyse des opérations et déclarations financières du Canada;5;7;71.42857142857143;0.0;8.0;0.0;2;7;28.57142857142857;7.0;37.0;18.91891891891892;0;7;0.0
2019-2020;125;Fisheries and Oceans Canada;Pêches et Océans Canada;63;64;98.4375;76.0;96.0;79.16666666666666;4;64;6.25;31.0;100.0;31.0;0;64;0.0
2019-2020;126;Global Affairs Canada;Affaires mondiales Canada;4;35;11.428571428571429;0.0;2.0;0.0;7;35;20.0;32.0;143.0;22.377622377622377;0;35;0.0
2019-2020;127;Health Canada;Santé Canada;48;82;58.536585365853654;34.0;53.0;64.15094339622641;2;82;2.4390243902439024;56.0;226.0;24.778761061946902;0;82;0.0
2019-2020;237;Housing, Infrastructure and Communities Canada;Logement, Infrastructure et Collectivités Canada;12;12;100.0;18.0;22.0;81.81818181818183;1;12;8.333333333333332;4.0;6.0;66.66666666666666;0;12;0.0
2019-2020;174;Immigration and Refugee Board of Canada;Commission de l'immigration et du statut de réfugié du Canada;1;6;16.666666666666664;0.0;1.0;0.0;1;6;16.666666666666664;11.0;29.0;37.93103448275862;0;6;0.0
2019-2020;123;Immigration, Refugees and Citizenship Canada;Immigration, Réfugiés et Citoyenneté Canada;24;72;33.33333333333333;32.0;47.0;68.08510638297872;20;72;27.77777777777778;205.0;353.0;58.07365439093485;0;72;0.0
2019-2020;63;Impact Assessment Agency of Canada;Agence d'évaluation d'impact du Canada;8;12;66.66666666666666;5.0;7.0;71.42857142857143;6;12;50.0;14.0;26.0;53.84615384615385;0;12;0.0
2019-2020;130;Innovation, Science and Economic Development Canada;Innovation, Sciences et Développement économique Canada;41;47;87.2340425531915;117.0;151.0;77.48344370860927;14;47;29.78723404255319;127.0;207.0;61.35265700483091;0;47;0.0
2019-2020;347;Invest in Canada Hub;Investir au Canada;0;3;0.0;;;;0;3;0.0;3.0;18.0;16.666666666666664;0;3;0.0
2019-2020;199;Library and Archives Canada;Bibliothèque et Archives Canada;2;9;22.22222222222222;1.0;2.0;50.0;1;9;11.11111111111111;14.0;54.0;25.925925925925924;0;9;0.0
2019-2020;210;Military Police Complaints Commission of Canada;Commission d'examen des plaintes concernant la police militaire du Canada;0;2;0.0;;;;0;2;0.0;1.0;12.0;8.333333333333332;0;2;0.0
2019-2020;133;National Defence;Défense nationale;5;10;50.0;10.0;11.0;90.9090909090909;2;10;20.0;8.0;24.0;33.33333333333333;0;10;0.0
2019-2020;223;National Film Board;Office national du film;3;3;100.0;5.0;6.0;83.33333333333334;0;3;0.0;4.0;9.0;44.44444444444444;0;3;0.0
2019-2020;228;National Research Council Canada;Conseil national de recherches Canada;12;15;80.0;13.0;21.0;61.904761904761905;6;15;40.0;31.0;47.0;65.95744680851064;0;15;0.0
2019-2020;302;National Security and Intelligence Review Agency Secretariat;Secrétariat de l’Office de surveillance des activités en matière de sécurité nationale et de renseignement;0;2;0.0;;;;0;2;0.0;;;;0;2;0.0
2019-2020;134;Natural Resources Canada;Ressources naturelles Canada;4;33;12.121212121212121;0.0;3.0;0.0;14;33;42.42424242424242;60.0;111.0;54.054054054054056;0;33;0.0
2019-2020;230;Natural Sciences and Engineering Research Council of Canada;Conseil de recherches en sciences naturelles et en génie du Canada;6;6;100.0;7.0;10.0;70.0;5;6;83.33333333333334;23.0;23.0;100.0;0;6;0.0
2019-2020;240;Office of the Commissioner for Federal Judicial Affairs Canada;Commissariat à la magistrature fédérale Canada;0;6;0.0;;;;2;6;33.33333333333333;7.0;11.0;63.63636363636363;0;6;0.0
2019-2020;253;Office of the Superintendent of Financial Institutions Canada;Bureau du surintendant des institutions financières Canada;7;8;87.5;8.0;9.0;88.88888888888889;0;8;0.0;2.0;18.0;11.11111111111111;0;8;0.0
2019-2020;263;Parks Canada;Parcs Canada;3;12;25.0;2.0;2.0;100.0;0;12;0.0;4.0;72.0;5.555555555555555;0;12;0.0
2019-2020;227;Parole Board of Canada;Commission des libérations conditionnelles du Canada;6;11;54.54545454545454;7.0;8.0;87.5;5;11;45.45454545454545;32.0;66.0;48.484848484848484;0;11;0.0
