service_id;fiscal_yr;program_id;org_id;latest_si_yr;report_yr;measure_yr;planned_actual;spending_fte;measure;valid_program
1010;2020-2021;BTF03;125;2023-2024;2020-2021;2020-2021;actual;ftes;90.0;True
1010;2021-2022;BTF03;125;2023-2024;2021-2022;2021-2022;actual;spending;15174649.38;True
1010;2021-2022;BTF03;125;2023-2024;2021-2022;2021-2022;actual;ftes;105.0;True
1011;2022-2023;BTG03;125;2023-2024;2022-2023;2022-2023;actual;spending;56284022.91;True
1011;2022-2023;BTG03;125;2023-2024;2022-2023;2022-2023;actual;ftes;231.0;True
1011;2018-2019;BTG03;125;;;;;;;False
1011;2019-2020;BTG03;125;2023-2024;2019-2020;2019-2020;actual;spending;37267846.51;True
1011;2019-2020;BTG03;125;2023-2024;2019-2020;2019-2020;actual;ftes;160.0;True
1011;2020-2021;BTG03;125;2023-2024;2020-2021;2020-2021;actual;spending;42897001.97;True
1011;2020-2021;BTG03;125;2023-2024;2020-2021;2020-2021;actual;ftes;176.0;True
1011;2021-2022;BTG03;125;2023-2024;2021-2022;2021-2022;actual;spending;49176745.01;True
1011;2021-2022;BTG03;125;2023-2024;2021-2022;2021-2022;actual;ftes;188.0;True
1012;2022-2023;BWM06;129;2023-2024;2022-2023;2022-2023;actual;spending;715870714.39;True
1012;2022-2023;BWM06;129;2023-2024;2022-2023;2022-2023;actual;ftes;49.0;True
1012;2018-2019;BWM06;129;;;;;;;False
1012;2019-2020;BWM06;129;2023-2024;2019-2020;2019-2020;actual;spending;46014538.71;True
1012;2019-2020;BWM06;129;2023-2024;2019-2020;2019-2020;actual;ftes;59.0;True
1012;2020-2021;BWM06;129;2023-2024;2020-2021;2020-2021;actual;spending;43524703.58;True
1012;2020-2021;BWM06;129;2023-2024;2020-2021;2020-2021;actual;ftes;57.0;True
1012;2021-2022;BWM06;129;2023-2024;2021-2022;2021-2022;actual;spending;247621188.05;True
1012;2021-2022;BWM06;129;2023-2024;2021-2022;2021-2022;actual;ftes;55.0;True
1013;2022-2023;BTF03;125;2023-2024;2022-2023;2022-2023;actual;spending;22062399.83;True
1013;2022-2023;BTF03;125;2023-2024;2022-2023;2022-2023;actual;ftes;110.0;True
1013;2018-2019;BTF03;125;;;;;;;False
1013;2019-2020;BTF03;125;2023-2024;2019-2020;2019-2020;actual;spending;17518681.2;True
1013;2019-2020;BTF03;125;2023-2024;2019-2020;2019-2020;actual;ftes;86.0;True
1013;2020-2021;BTF03;125;2023-2024;2020-2021;2020-2021;actual;spending;16886348.34;True
1013;2020-2021;BTF03;125;2023-2024;2020-2021;2020-2021;actual;ftes;90.0;True
1013;2021-2022;BTF03;125;2023-2024;2021-2022;2021-2022;actual;spending;15174649.38;True
1013;2021-2022;BTF03;125;2023-2024;2021-2022;2021-2022;actual;ftes;105.0;True
1014;2018-2019;BWM06;129;;;;;;;False
1014;2018-2019;BWM07;129;;;;;;;False
1014;2018-2019;BWM08;129;;;;;;;False
1015;2022-2023;BTG04;125;2023-2024;2022-2023;2022-2023;actual;spending;84317537.32;True
1015;2022-2023;BTG04;125;2023-2024;2022-2023;2022-2023;actual;ftes;333.0;True
1015;2018-2019;BTG04;125;;;;;;;False
1015;2019-2020;BTG04;125;2023-2024;2019-2020;2019-2020;actual;spending;30542473.55;True
1015;2019-2020;BTG04;125;2023-2024;2019-2020;2019-2020;actual;ftes;162.0;True
1015;2020-2021;BTG04;125;2023-2024;2020-2021;2020-2021;actual;spending;30515331.54;True
1015;2020-2021;BTG04;125;2023-2024;2020-2021;2020-2021;actual;ftes;172.0;True
1015;2021-2022;BTG04;125;2023-2024;2021-2022;2021-2022;actual;spending;48207017.95;True
1015;2021-2022;BTG04;125;2023-2024;2021-2022;2021-2022;actual;ftes;229.0;True
1016;2022-2023;BTG04;125;2023-2024;2022-2023;2022-2023;actual;spending;84317537.32;True
1016;2022-2023;BTG04;125;2023-2024;2022-2023;2022-2023;actual;ftes;333.0;True
1016;2018-2019;BTG04;125;;;;;;;False
1016;2019-2020;BTG04;125;2023-2024;2019-2020;2019-2020;actual;spending;30542473.55;True
1016;2019-2020;BTG04;125;2023-2024;2019-2020;2019-2020;actual;ftes;162.0;True
1016;2020-2021;BTG04;125;2023-2024;2020-2021;2020-2021;actual;spending;30515331.54;True
1016;2020-2021;BTG04;125;2023-2024;2020-2021;2020-2021;actual;ftes;172.0;True
1016;2021-2022;BTG04;125;2023-2024;2021-2022;2021-2022;actual;spending;48207017.95;True
1016;2021-2022;BTG04;125;2023-2024;2021-2022;2021-2022;actual;ftes;229.0;True
1017;2022-2023;BTG04;125;2023-2024;2022-2023;2022-2023;actual;spending;84317537.32;True
1017;2022-2023;BTG04;125;2023-2024;2022-2023;2022-2023;actual;ftes;333.0;True
1017;2018-2019;BTG04;125;;;;;;;False
1017;2019-2020;BTG04;125;2023-2024;2019-2020;2019-2020;actual;spending;30542473.55;True
1017;2019-2020;BTG04;125;2023-2024;2019-2020;2019-2020;actual;ftes;162.0;True
1017;2020-2021;BTG04;125;2023-2024;2020-2021;2020-2021;actual;spending;30515331.54;True
1017;2020-2021;BTG04;125;2023-2024;2020-2021;2020-2021;actual;ftes;172.0;True
1017;2021-2022;BTG04;125;2023-2024;2021-2022;2021-2022;actual;spending;48207017.95;True
1017;2021-2022;BTG04;125;2023-2024;2021-2022;2021-2022;actual;ftes;229.0;True
1018;2022-2023;BTG04;125;2023-2024;2022-2023;2022-2023;actual;spending;84317537.32;True
1018;2022-2023;BTG04;125;2023-2024;2022-2023;2022-2023;actual;ftes;333.0;True
1018;2018-2019;BTG04;125;;;;;;;False
1018;2019-2020;BTG04;125;2023-2024;2019-2020;2019-2020;actual;spending;30542473.55;True
1018;2019-2020;BTG04;125;2023-2024;2019-2020;2019-2020;actual;ftes;162.0;True
1018;2020-2021;BTG04;125;2023-2024;2020-2021;2020-2021;actual;spending;30515331.54;True
1018;2020-2021;BTG04;125;2023-2024;2020-2021;2020-2021;actual;ftes;172.0;True
1018;2021-2022;BTG04;125;2023-2024;2021-2022;2021-2022;actual;spending;48207017.95;True
1018;2021-2022;BTG04;125;2023-2024;2021-2022;2021-2022;actual;ftes;229.0;True
1019;2022-2023;BWM07;129;2023-2024;2022-2023;2022-2023;actual;spending;210461983.66;True
1019;2022-2023;BWM07;129;2023-2024;2022-2023;2022-2023;actual;ftes;21.0;True
1019;2018-2019;BWM07;129;;;;;;;False
1019;2019-2020;BWM07;129;2023-2024;2019-2020;2019-2020;actual;spending;87696997.53;True
1019;2019-2020;BWM07;129;2023-2024;2019-2020;2019-2020;actual;ftes;8.0;True
1019;2020-2021;BWM07;129;2023-2024;2020-2021;2020-2021;actual;spending;99034575.07;True
1019;2020-2021;BWM07;129;2023-2024;2020-2021;2020-2021;actual;ftes;20.0;True
1019;2021-2022;BWM07;129;2023-2024;2021-2022;2021-2022;actual;spending;115218653.94;True
1019;2021-2022;BWM07;129;2023-2024;2021-2022;2021-2022;actual;ftes;20.0;True
1020;2022-2023;BTG04;125;2023-2024;2022-2023;2022-2023;actual;spending;84317537.32;True
1020;2022-2023;BTG04;125;2023-2024;2022-2023;2022-2023;actual;ftes;333.0;True
1020;2018-2019;BTG04;125;;;;;;;False
1020;2019-2020;BTG04;125;2023-2024;2019-2020;2019-2020;actual;spending;30542473.55;True
1020;2019-2020;BTG04;125;2023-2024;2019-2020;2019-2020;actual;ftes;162.0;True
1020;2020-2021;BTG04;125;2023-2024;2020-2021;2020-2021;actual;spending;30515331.54;True
1020;2020-2021;BTG04;125;2023-2024;2020-2021;2020-2021;actual;ftes;172.0;True
1020;2021-2022;BTG04;125;2023-2024;2021-2022;2021-2022;actual;spending;48207017.95;True
1020;2021-2022;BTG04;125;2023-2024;2021-2022;2021-2022;actual;ftes;229.0;True
1021;2022-2023;BTG04;125;2023-2024;2022-2023;2022-2023;actual;spending;84317537.32;True
1021;2022-2023;BTG04;125;2023-2024;2022-2023;2022-2023;actual;ftes;333.0;True
1021;2018-2019;BTG04;125;;;;;;;False
1021;2019-2020;BTG04;125;2023-2024;2019-2020;2019-2020;actual;spending;30542473.55;True
1021;2019-2020;BTG04;125;2023-2024;2019-2020;2019-2020;actual;ftes;162.0;True
1021;2020-2021;BTG04;125;2023-2024;2020-2021;2020-2021;actual;spending;30515331.54;True
1021;2020-2021;BTG04;125;2023-2024;2020-2021;2020-2021;actual;ftes;172.0;True
1021;2021-2022;BTG04;125;2023-2024;2021-2022;2021-2022;actual;spending;48207017.95;True
