fiscal_yr;service_id;channel;volume
2020-2021;1133;telephone;0.0
2018-2019;1134;telephone;0.0
2019-2020;1134;telephone;0.0
2020-2021;1134;telephone;0.0
2018-2019;1135;telephone;0.0
2019-2020;1135;telephone;0.0
2020-2021;1135;telephone;0.0
2018-2019;1136;telephone;0.0
2019-2020;1136;telephone;0.0
2020-2021;1136;telephone;0.0
2021-2022;1136;telephone;0.0
2018-2019;1137;telephone;0.0
2019-2020;1137;telephone;0.0
2020-2021;1137;telephone;0.0
2018-2019;1138;telephone;0.0
2019-2020;1138;telephone;0.0
2020-2021;1138;telephone;0.0
2018-2019;1139;telephone;0.0
2019-2020;1139;telephone;0.0
2020-2021;1139;telephone;0.0
2018-2019;1140;telephone;0.0
2018-2019;1141;telephone;0.0
2019-2020;1141;telephone;0.0
2020-2021;1141;telephone;0.0
2018-2019;1142;telephone;0.0
2019-2020;1142;telephone;0.0
2020-2021;1142;telephone;0.0
2018-2019;1143;telephone;0.0
2019-2020;1143;telephone;0.0
2020-2021;1143;telephone;0.0
2018-2019;1144;telephone;0.0
2019-2020;1144;telephone;0.0
2020-2021;1144;telephone;0.0
2018-2019;1145;telephone;0.0
2018-2019;1146;telephone;0.0
2019-2020;1146;telephone;0.0
2020-2021;1146;telephone;0.0
2022-2023;1147;telephone;12.0
2018-2019;1147;telephone;0.0
2019-2020;1147;telephone;0.0
2020-2021;1147;telephone;0.0
2018-2019;1148;telephone;0.0
2018-2019;1149;telephone;0.0
2019-2020;1149;telephone;0.0
2020-2021;1149;telephone;0.0
2018-2019;1150;telephone;0.0
2018-2019;1151;telephone;0.0
2018-2019;1153;telephone;0.0
2019-2020;1153;telephone;0.0
2020-2021;1153;telephone;0.0
2018-2019;1154;telephone;0.0
2019-2020;1154;telephone;0.0
2020-2021;1154;telephone;0.0
2018-2019;1155;telephone;0.0
2019-2020;1155;telephone;0.0
2020-2021;1155;telephone;0.0
2018-2019;1156;telephone;0.0
2019-2020;1156;telephone;0.0
2018-2019;1157;telephone;0.0
2019-2020;1157;telephone;0.0
2020-2021;1157;telephone;0.0
2018-2019;1158;telephone;0.0
2019-2020;1158;telephone;0.0
2020-2021;1158;telephone;0.0
2018-2019;1159;telephone;0.0
2018-2019;1160;telephone;0.0
2019-2020;1160;telephone;0.0
2020-2021;1160;telephone;0.0
2018-2019;1161;telephone;0.0
2019-2020;1161;telephone;0.0
2020-2021;1161;telephone;0.0
2018-2019;1162;telephone;0.0
2019-2020;1162;telephone;0.0
2020-2021;1162;telephone;0.0
2018-2019;1163;telephone;0.0
2019-2020;1163;telephone;0.0
2020-2021;1163;telephone;0.0
2021-2022;1163;telephone;0.0
2020-2021;1164;telephone;0.0
2020-2021;1165;telephone;0.0
2018-2019;1166;telephone;0.0
2019-2020;1166;telephone;0.0
2020-2021;1166;telephone;0.0
2021-2022;1166;telephone;40.0
2018-2019;1167;telephone;0.0
2018-2019;1172;telephone;0.0
2019-2020;1172;telephone;0.0
2020-2021;1172;telephone;0.0
2018-2019;1173;telephone;0.0
2019-2020;1173;telephone;0.0
2020-2021;1173;telephone;0.0
2018-2019;1176;telephone;0.0
2019-2020;1176;telephone;0.0
2020-2021;1176;telephone;0.0
2018-2019;1178;telephone;0.0
2018-2019;1179;telephone;0.0
2019-2020;1179;telephone;0.0
2020-2021;1179;telephone;0.0
2018-2019;1180;telephone;0.0
2019-2020;1180;telephone;0.0
2020-2021;1180;telephone;0.0
2018-2019;1182;telephone;0.0
2018-2019;1183;telephone;0.0
2019-2020;1183;telephone;0.0
2020-2021;1183;telephone;0.0
2018-2019;1187;telephone;0.0
2019-2020;1187;telephone;0.0
2020-2021;1187;telephone;0.0
2018-2019;1188;telephone;0.0
2018-2019;1190;telephone;0.0
2018-2019;1193;telephone;0.0
2018-2019;1195;telephone;0.0
2019-2020;1195;telephone;0.0
2020-2021;1195;telephone;0.0
2018-2019;1196;telephone;0.0
2018-2019;1197;telephone;0.0
2018-2019;1198;telephone;0.0
2018-2019;1199;telephone;0.0
2018-2019;1200;telephone;0.0
2019-2020;1200;telephone;0.0
2018-2019;1202;telephone;0.0
2019-2020;1202;telephone;0.0
2020-2021;1202;telephone;0.0
2018-2019;1204;telephone;0.0
2019-2020;1204;telephone;0.0
2020-2021;1204;telephone;0.0
2018-2019;1208;telephone;0.0
