si_link_yr;organization_id;program_id;service_id;fiscal_yr;core_responsibility_en;report_yr;measure_yr;planned_actual;ftes;spending
2020;137;BGS04;963;2019-2020;Preventing and Managing Pollution;2020.0;2020.0;actual;749.52;127021348.96
2020;137;BGS05;963;2019-2020;Preventing and Managing Pollution;2020.0;2020.0;actual;367.23;45089913.15
2020;137;BGT01;963;2019-2020;Conserving Nature;2020.0;2020.0;actual;360.76;87124479.76
2020;137;BGT02;963;2019-2020;Conserving Nature;2020.0;2020.0;actual;281.16;44001232.69
2020;137;BGT03;963;2019-2020;Conserving Nature;2020.0;2020.0;actual;229.04;121279782.62
2020;137;BGT06;963;2019-2020;Conserving Nature;2020.0;2020.0;actual;146.41;19382850.64
2020;137;BGU01;963;2019-2020;Predicting Weather and Environmental Conditions;2020.0;2020.0;actual;1358.3;223837564.54
2020;137;BGU02;963;2019-2020;Predicting Weather and Environmental Conditions;2020.0;2020.0;actual;347.52;36433219.15
2019;137;BGS04;965;2018-2019;Preventing and Managing Pollution;2019.0;2019.0;actual;714.0;103590139.44
2020;137;BGS04;965;2019-2020;Preventing and Managing Pollution;2020.0;2020.0;actual;749.52;127021348.96
2021;137;BGS04;965;2020-2021;Preventing and Managing Pollution;2021.0;2021.0;actual;738.0;120878784.22
2023;136;BVX01;966;2022-2023;Property and Infrastructure;2023.0;2023.0;actual;892.13;2708188807.25
2023;136;BVX01;966;2022-2023;Property and Infrastructure;2024.0;2024.0;planned;928.34;3059507157.0
2023;136;BVX01;966;2022-2023;Property and Infrastructure;2025.0;2025.0;planned;912.0;2926435520.0
2023;136;BVX01;966;2022-2023;Property and Infrastructure;2025.0;2026.0;planned;914.0;3244727761.0
2023;136;BVX01;966;2022-2023;Property and Infrastructure;2025.0;2027.0;planned;917.0;2526795984.0
2019;136;BVX01;966;2018-2019;Property and Infrastructure;2019.0;2019.0;actual;753.98;2166201901.84
2020;136;BVX01;966;2019-2020;Property and Infrastructure;2020.0;2020.0;actual;824.67;2085031204.33
2021;136;BVX01;966;2020-2021;Property and Infrastructure;2021.0;2021.0;actual;807.9;2277021027.36
2022;136;BVX01;966;2021-2022;Property and Infrastructure;2022.0;2022.0;actual;856.94;2333963841.63
2023;136;BVX02;967;2022-2023;Property and Infrastructure;2023.0;2023.0;actual;3541.93;-15215943.58
2023;136;BVX02;967;2022-2023;Property and Infrastructure;2024.0;2024.0;planned;3687.66;3500000.0
2023;136;BVX02;967;2022-2023;Property and Infrastructure;2025.0;2025.0;planned;3688.0;20800000.0
2023;136;BVX02;967;2022-2023;Property and Infrastructure;2025.0;2026.0;planned;3708.0;5400000.0
2023;136;BVX02;967;2022-2023;Property and Infrastructure;2025.0;2027.0;planned;3710.0;-1800000.0
2019;136;BVX01;967;2018-2019;Property and Infrastructure;2019.0;2019.0;actual;753.98;2166201901.84
2020;136;BVX01;967;2019-2020;Property and Infrastructure;2020.0;2020.0;actual;824.67;2085031204.33
2021;136;BVX01;967;2020-2021;Property and Infrastructure;2021.0;2021.0;actual;807.9;2277021027.36
2022;136;BVX01;967;2021-2022;Property and Infrastructure;2022.0;2022.0;actual;856.94;2333963841.63
2023;136;BVX02;968;2022-2023;Property and Infrastructure;2023.0;2023.0;actual;3541.93;-15215943.58
2023;136;BVX02;968;2022-2023;Property and Infrastructure;2024.0;2024.0;planned;3687.66;3500000.0
2023;136;BVX02;968;2022-2023;Property and Infrastructure;2025.0;2025.0;planned;3688.0;20800000.0
2023;136;BVX02;968;2022-2023;Property and Infrastructure;2025.0;2026.0;planned;3708.0;5400000.0
2023;136;BVX02;968;2022-2023;Property and Infrastructure;2025.0;2027.0;planned;3710.0;-1800000.0
2019;136;BVX01;968;2018-2019;Property and Infrastructure;2019.0;2019.0;actual;753.98;2166201901.84
2020;136;BVX01;968;2019-2020;Property and Infrastructure;2020.0;2020.0;actual;824.67;2085031204.33
2021;136;BVX01;968;2020-2021;Property and Infrastructure;2021.0;2021.0;actual;807.9;2277021027.36
2022;136;BVX01;968;2021-2022;Property and Infrastructure;2022.0;2022.0;actual;856.94;2333963841.63
